value,clean,CODI_ATC_1,NOMBRE_1,CODI_ATC_0.9,NOMBRE_0.9,CODI_ATC_0.8,NOMBRE_0.8,CODI_ATC_0.7,NOMBRE_0.7
"AVAMYS 27,5MCG/PULV 1",AVAMYS MCGPULV,,,,,,,,
RINOCORT,RINOCORT,,,R01AD,RHINOCORT,R01AD,RHINOCORT,R01AD,RHINOCORT
Homeopatia,HOMEOPATIA,,,,,,,,
avamis,AVAMIS,,,,,R01AD,AVAMYS,R01AD,AVAMYS
"RINOCOR, FRENASAL...",RINOCOR FRENASAL,,,,,,,R01AC,RINOFRENAL
zitirizina,ZITIRIZINA,,,,,R06AE,CETIRIZINA,R06AE,CETIRIZINA
nasacort,NASACORT,R01AD,NASACORT,R01AD,NASACORT,R01AD,NASACORT,R01AD,NASACORT
antiestam?nic,ANTIESTAM?NIC,,,,,,,,
homeopatia,HOMEOPATIA,,,,,,,,
rinocort,RINOCORT,,,R01AD,RHINOCORT,R01AD,RHINOCORT,R01AD,RHINOCORT
Cetirizina,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA
sinalar nasal,SINALAR NASAL,,,R01AD,SYNALAR NASAL,R01AD,SYNALAR NASAL,R01AD,SYNALAR NASAL
Avamys,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS
DESLORATADINA,DESLORATADINA,,,R06AX,DESLORATADINA ,R06AX,DESLORATADINA ,R06AX,DESLORATADINA 
Rinocort aqua,RINOCORT AQUA,,,R01AD,RHINOCORT AQUA,R01AD,RHINOCORT AQUA,R01AD,RHINOCORT AQUA
colirio,COLIRIO,,,,,R01AD,POLIRINO,R01AD,POLIRINO
Anysis (nebulitzador),ANYSIS NEBULITZADOR,,,,,,,R01AB,KANAFOSAL NEBULIZADOR
HOMEOPATIA,HOMEOPATIA,,,,,,,,
Sterimar agua de mar,STERIMAR AGUA DE MAR,,,,,,,,
spray nasal amb cortisona,SPRAY NASAL AMB CORTISONA,,,,,,,,
ebastel forte,EBASTEL FORTE,R06AX,EBASTEL FORTE,R06AX,EBASTEL FORTE,R06AX,EBASTEL FORTE,R06AX,EBASTEL FORTE
NASONEX,NASONEX,R01AD,NASONEX,R01AD,NASONEX,R01AD,NASONEX,R01AD,NASONEX
RINOSPRAY,RINOSPRAY,,,,,C01DA,TRINISPRAY,C01DA,TRINISPRAY
TEBARAT,TEBARAT,,,,,,,L04AC,STELARA
peitel,PEITEL,D07AC,PEITEL,D07AC,PEITEL,D07AC,PEITEL,D07AC,PEITEL
Lexema,LEXEMA,,,D07AC,LEXXEMA,D07AC,LEXXEMA,D07AC,LEXXEMA
crema pietel,CREMA PIETEL,,,,,,,,
champu,CHAMPU,,,,,,,N07BA,CHAMPIX
emolienta,EMOLIENTA,,,,,,,D01AC,MOLDINA
"aceite de onagra,y espirulina",ACEITE DE ONAGRAY ESPIRULINA,,,,,,,,
POMADA,POMADA,,,,,,,R01AX,NASOPOMADA
liprogenta crema alergica,LIPROGENTA CREMA ALERGICA,,,,,,,,
kenzecoalt gel 2%,KENZECOALT GEL,,,,,,,,
pomades,POMADES,,,,,,,,
Un preparat de farm?cia (formula del dermat?leg).,UN PREPARAT DE FARM?CIA FORMULA DEL DERMAT?LEG,,,,,,,,
vitamina e,VITAMINA E,A11HA,VITAMINA E,A11HA,VITAMINA E,A11HA,VITAMINA E,A11HA,VITAMINA E
F?rmula magistral,F?RMULA MAGISTRAL,,,,,,,,
SERVIPROX,SERVIPROX,,,,,D01AE,SEBIPROX,D01AE,SEBIPROX
CREMA,CREMA,,,,,C01DX,COREMAX,C01DX,COREMAX
isdin hidratante,ISDIN HIDRATANTE,,,,,,,,
DEPENENT DEL QUADRE,DEPENENT DEL QUADRE,,,,,,,,
dapson fatol,DAPSON FATOL,,,,,,,G03XA,DANATROL
DESLORATADINA,DESLORATADINA,,,R06AX,DESLORATADINA ,R06AX,DESLORATADINA ,R06AX,DESLORATADINA 
clovate pomada,CLOVATE POMADA,,,,,,,D03AX,PLASTENAN POMADA
Xampu espec?fic,XAMPU ESPEC?FIC,,,,,,,,
PREPARADO DE FARMACIA,PREPARADO DE FARMACIA,,,,,,,,
LEXEMA,LEXEMA,,,D07AC,LEXXEMA,D07AC,LEXXEMA,D07AC,LEXXEMA
corticoide,CORTICOIDE,,,,,,,R05X,CORICIDIN
"pomada, no recordo el nom",POMADA NO RECORDO EL NOM,,,,,,,,
elidel,ELIDEL,D11AH,ELIDEL,D11AH,ELIDEL,D11AH,ELIDEL,D11AH,ELIDEL
NUTRADEICA GEL,NUTRADEICA GEL,,,,,,,D01AC,NUTRACEL
LEXXEMA,LEXXEMA,D07AC,LEXXEMA,D07AC,LEXXEMA,D07AC,LEXXEMA,D07AC,LEXXEMA
Balneum Plus,BALNEUM PLUS,,,,,,,,
BETNOVATE,BETNOVATE,D07AC,BETNOVATE,D07AC,BETNOVATE,D07AC,BETNOVATE,D07AC,BETNOVATE
CORTICOIDE,CORTICOIDE,,,,,,,R05X,CORICIDIN
daivobet,DAIVOBET,D05AX,DAIVOBET,D05AX,DAIVOBET,D05AX,DAIVOBET,D05AX,DAIVOBET
BONALFA,BONALFA,D05AX,BONALFA,D05AX,BONALFA,D05AX,BONALFA,D05AX,BONALFA
corticoide crema/gel,CORTICOIDE CREMAGEL,,,,,,,,
HOMEOPATICO,HOMEOPATICO,,,,,,,,
Tractament PUVA,TRACTAMENT PUVA,,,,,,,,
CREMA,CREMA,,,,,C01DX,COREMAX,C01DX,COREMAX
magnesio,MAGNESIO,,,,,A12CC,MAGNESIOBOI,A12CC,MAGNESIOBOI
T?PIC,T?PIC,,,,,,,,
pomada,POMADA,,,,,,,R01AX,NASOPOMADA
xampu amb zinc,XAMPU AMB ZINC,,,,,,,,
POMADA D?RMICA,POMADA D?RMICA,,,,,,,,
Kelual,KELUAL,,,,,,,A03FA,KELOSAL
METRATEXATO,METRATEXATO,,,,,L01BA,METOTREXATO,L01BA,METOTREXATO
Preparat Homeop?tic,PREPARAT HOMEOP?TIC,,,,,,,,
Diabobet pomada,DIABOBET POMADA,,,,,,,,
pomada,POMADA,,,,,,,R01AX,NASOPOMADA
pomada,POMADA,,,,,,,R01AX,NASOPOMADA
pomadas,POMADAS,,,,,,,R01AX,NASOPOMADA
Diavobet,DIAVOBET,,,,,D05AX,DAIVOBET,D05AX,DAIVOBET
fototerapia,FOTOTERAPIA,,,,,,,,
Mary-Kay,MARYKAY,,,,,,,,
Pomada per la cara,POMADA PER LA CARA,,,,,,,D08AX,POMADA MERCURIAL
HARPAGOFITO,HARPAGOFITO,,,,,,,M09AX,EXTRACTO HARPAGOFITO
minvit,MINVIT,,,,,,,N05CD,SOMNOVIT
DEXKETOPROFENO,DEXKETOPROFENO,,,,,,,M02AA,KETOPROFENO GEL
condrosan,CONDROSAN,M01AX,CONDROSAN,M01AX,CONDROSAN,M01AX,CONDROSAN,M01AX,CONDROSAN
salocipirina,SALOCIPIRINA,,,,,,,N02BA,DULCIPIRINA
antiinflamatoris,ANTIINFLAMATORIS,,,,,,,M02AA,DOCTOFRIL ANTIINFLAMATORIO
metrotesate,METROTESATE,,,,,,,L01BA,METOTREXATO
araba 10,ARABA,,,,,L04AA,ARAVA,L04AA,ARAVA
antiinflamatprios,ANTIINFLAMATPRIOS,,,,,,,,
artritis gotosa cr?nica ? per disoldre ?cid ?ric,ARTRITIS GOTOSA CR?NICA  PER DISOLDRE ?CID ?RIC,,,,,,,,
metrotexato i ?cid f?lic,METROTEXATO I ?CID F?LIC,,,,,,,,
memotexato,MEMOTEXATO,,,,,L01BA,METOTREXATO,L01BA,METOTREXATO
vitamina D,VITAMINA D,,,A11CC,VITAMINA D3,A11CC,VITAMINA D3,A11CC,VITAMINA D3
etanercept,ETANERCEPT,,,,,,,N06DA,ARICEPT
metrotexate,METROTEXATE,,,,,L01BA,METOTREXATO,L01BA,METOTREXATO
INDOMETACINA,INDOMETACINA,M01AB,INDOMETACINA,M01AB,INDOMETACINA,M01AB,INDOMETACINA,M01AB,INDOMETACINA
METROTREXATO,METROTREXATO,,,L01BA,METOTREXATO,L01BA,METOTREXATO,L01BA,METOTREXATO
PARACETAMOL O IBUPROFENO,PARACETAMOL O IBUPROFENO,,,,,,,,
EMBREL/ETHANERCEP,EMBRELETHANERCEP,,,,,,,,
glicina,GLICINA,,,,,D07AC,GELIDINA,D07AC,GELIDINA
OSTO FORT  -SURAVITASAN-,OSTO FORT  SURAVITASAN,,,,,,,,
Condro-aid forte,CONDROAID FORTE,,,,,,,A11DB,NEUROMADE FORTE
cortisona,CORTISONA,,,,,,,D07AA,LACTISONA
METOTREXANO,METOTREXANO,,,L01BA,METOTREXATO,L01BA,METOTREXATO,L01BA,METOTREXATO
UBOPROFENO,UBOPROFENO,,,,,M01AE,IBUPROFENO,M01AE,IBUPROFENO
PARCHE DOLOR,PARCHE DOLOR,,,,,,,,
metrafosfato,METRAFOSFATO,,,,,,,,
cartilago,CARTILAGO,,,,,,,M01AH,ARTILOG
arcoxia,ARCOXIA,M01AH,ARCOXIA,M01AH,ARCOXIA,M01AH,ARCOXIA,M01AH,ARCOXIA
VOLTAREN RETARD,VOLTAREN RETARD,M01AB,VOLTAREN RETARD,M01AB,VOLTAREN RETARD,M01AB,VOLTAREN RETARD,M01AB,VOLTAREN RETARD
acfol,ACFOL,B03BB,ACFOL,B03BB,ACFOL,B03BB,ACFOL,B03BB,ACFOL
ARTIFORTE,ARTIFORTE,,,,,,,R06AX,BACTIL FORTE
CELECOXIB,CELECOXIB,,,,,,,,
"PREDNISONA 2,5 MG",PREDNISONA,H02AB,PREDNISONA,H02AB,PREDNISONA,H02AB,PREDNISONA,H02AB,PREDNISONA
BRONCODILATADOR,BRONCODILATADOR,,,,,,,R03DB,BRONDILAT
simvicort,SIMVICORT,,,,,,,D07AC,SICORTEN
VENTOLIN,VENTOLIN,,,,,R03CC,VENTOLIN INY,R03CC,VENTOLIN INY
Singulair,SINGULAIR,R03DC,SINGULAIR,R03DC,SINGULAIR,R03DC,SINGULAIR,R03DC,SINGULAIR
VENTOLIN,VENTOLIN,,,,,R03CC,VENTOLIN INY,R03CC,VENTOLIN INY
ventolin,VENTOLIN,,,,,R03CC,VENTOLIN INY,R03CC,VENTOLIN INY
SIMBICORT,SIMBICORT,,,,,,,D07AC,SICORTEN
ventolin,VENTOLIN,,,,,R03CC,VENTOLIN INY,R03CC,VENTOLIN INY
Relvar Ellipta,RELVAR ELLIPTA,,,,,,,,
salbutamol,SALBUTAMOL,,,,,,,S01ED,ALBETAL
inhaladores,INHALADORES,,,,,,,R03AK,INALADUO
severen,SEVEREN,,,,,,,D06BB,VEREGEN
rilast turbohaler,RILAST TURBOHALER,,,R03AK,RILAST TURBUHALER,R03AK,RILAST TURBUHALER,R03AK,RILAST TURBUHALER
simbicor,SIMBICOR,,,,,,,,
BRONCODILATADOR,BRONCODILATADOR,,,,,,,R03DB,BRONDILAT
salbutamol,SALBUTAMOL,,,,,,,S01ED,ALBETAL
REVLAR,REVLAR,,,,,,,V03AE,RENVELA
ventolin,VENTOLIN,,,,,R03CC,VENTOLIN INY,R03CC,VENTOLIN INY
inalado,INALADO,,,R03AK,INALADUO,R03AK,INALADUO,R03AK,INALADUO
Duoresp,DUORESP,,,,,,,C02CA,DUOTENS
flutiform,FLUTIFORM,,,,,,,D07AC,FLUTICREM
inhalador,INHALADOR,,,,,R03AK,INALADUO,R03AK,INALADUO
Homeopatia,HOMEOPATIA,,,,,,,,
turbohaler,TURBOHALER,,,,,,,R03AC,OXIS TURBUHALER
SPIROMAX,SPIROMAX,,,,,R03CC,RESPIROMA,R03CC,RESPIROMA
FLUTIFOR,FLUTIFOR,,,,,,,R05DB,FLUTOX
"ATROVENT, VENTOLIN, INHALADUO",ATROVENT VENTOLIN INHALADUO,,,,,,,R03AC,VENTOLIN INHALADOR
Duoresp spiromax 320,DUORESP SPIROMAX,,,,,,,R03CC,RESPIROMA
Ris-last,RISLAST,,,,,,,B02BB,RIASTAP
cortisona,CORTISONA,,,,,,,D07AA,LACTISONA
Tubuhaler de budesonida,TUBUHALER DE BUDESONIDA,,,,,,,,
Butoasma,BUTOASMA,,,R03AC,BUTO ASMA,R03AC,BUTO ASMA,R03AC,BUTO ASMA
ultibro,ULTIBRO,,,,,,,H03AA,EUTIROX
spiriva,SPIRIVA,R03BB,SPIRIVA,R03BB,SPIRIVA,R03BB,SPIRIVA,R03BB,SPIRIVA
blecoforte,BLECOFORTE,,,,,D11AX,LICOFORTE,D11AX,LICOFORTE
Simbicort,SIMBICORT,,,,,,,D07AC,SICORTEN
pulmicort,PULMICORT,R03BA,PULMICORT,R03BA,PULMICORT,R03BA,PULMICORT,R03BA,PULMICORT
Broncodilatador inhalat,BRONCODILATADOR INHALAT,,,,,,,,
broncodilatadors,BRONCODILATADORS,,,,,,,R03DB,BRONDILAT
VACUNA ?CARS,VACUNA ?CARS,,,,,,,J07AN,VACUNA BCG
cortisona,CORTISONA,,,,,,,D07AA,LACTISONA
Cortisona,CORTISONA,,,,,,,D07AA,LACTISONA
CAL?,CAL?,,,,,,,,
sandoz,SANDOZ,,,,,,,D08AG,SANOYODO
calcium forte 1200,CALCIUM FORTE,,,,,,,A12AA,CALCIUM SANDOZ FORTE
Deltius,DELTIUS,,,,,,,B01AF,ELIQUIS
"CALCIO, VITAMINA D",CALCIO VITAMINA D,,,A12AX,CALCIO/VITAMINA D3,A12AX,CALCIO/VITAMINA D3,A12AX,CALCIO/VITAMINA D3
osteoguard/megamineral  complex,OSTEOGUARDMEGAMINERAL  COMPLEX,,,,,,,,
magnesio -colageno,MAGNESIO COLAGENO,,,,,,,A02AA,MAGNESIA LAINCO
garbanpenina,GARBANPENINA,,,,,N03AX,GABAPENTIN,N03AX,GABAPENTIN
Calcium,CALCIUM,,,,,,,N05BA,VALIUM
Binosto,BINOSTO,,,,,,,A02AD,MINOTON
cartileg taur?,CARTILEG TAUR?,,,,,,,,
calci,CALCI,,,A12AA,CALCIO,A12AA,CALCIO,A12AA,CALCIO
Mastical D,MASTICAL D,,,A12AX,MASTICAL  D,A12AX,MASTICAL  D,A12AX,MASTICAL  D
calcio y acido alendronico,CALCIO Y ACIDO ALENDRONICO,,,,,,,M05BA,ACIDO ALENDRONICO
osvical,OSVICAL,A12AX,OSVICAL,A12AX,OSVICAL,A12AX,OSVICAL,A12AX,OSVICAL
optruma - natecal,OPTRUMA  NATECAL,,,,,,,,
medicina naturasl,MEDICINA NATURASL,,,,,,,,
Demilos,DEMILOS,,,,,,,C04AE,DIEMIL
acido alendroico i calcio sandoz 100mg.,ACIDO ALENDROICO I CALCIO SANDOZ,,,,,,,,
DEMILOS,DEMILOS,,,,,,,C04AE,DIEMIL
Calcium,CALCIUM,,,,,,,N05BA,VALIUM
Calci-Magnesi,CALCIMAGNESI,,,,,,,A06AD,SALMAGNE
CALCIO,CALCIO,A12AA,CALCIO,A12AA,CALCIO,A12AA,CALCIO,A12AA,CALCIO
medicina natural,MEDICINA NATURAL,,,,,,,,
condrosan,CONDROSAN,M01AX,CONDROSAN,M01AX,CONDROSAN,M01AX,CONDROSAN,M01AX,CONDROSAN
OSTIVONE,OSTIVONE,,,,,A12AX,OSTINE,A12AX,OSTINE
BINOSTO,BINOSTO,,,,,,,A02AD,MINOTON
BODESIL FLAS,BODESIL FLAS,,,,,A12AX,BONESIL D FLAS,A12AX,BONESIL D FLAS
Deniros,DENIROS,,,,,,,A01AB,DENTIKRISOS
BINOSTON I OSVICAL,BINOSTON I OSVICAL,,,,,,,,
ACIDO ALENDRONICO,ACIDO ALENDRONICO,M05BA,ACIDO ALENDRONICO,M05BA,ACIDO ALENDRONICO,M05BA,ACIDO ALENDRONICO,M05BA,ACIDO ALENDRONICO
osteopor galaxdar,OSTEOPOR GALAXDAR,,,,,,,,
Ibuprofeno/Paracetamol,IBUPROFENOPARACETAMOL,,,,,,,N02BE,DOLEFIN PARACETAMOL
Prolia,PROLIA,M05BX,PROLIA,M05BX,PROLIA,M05BX,PROLIA,M05BX,PROLIA
pectus,PECTUS,,,,,,,C01DX,PECTORIS
mastical,MASTICAL,A12AA,MASTICAL,A12AA,MASTICAL,A12AA,MASTICAL,A12AA,MASTICAL
netecalde,NETECALDE,,,,,,,A12AX,NATECAL D
"PROLIA, ?DEOS",PROLIA ?DEOS,,,,,,,N04BC,PERGOLIDA DECROX
no recordo el nom,NO RECORDO EL NOM,,,,,,,,
DEMILOS,DEMILOS,,,,,,,C04AE,DIEMIL
ACREL MENSUAL,ACREL MENSUAL,,,,,,,L02AE,PROCRIN MENSUAL
Diuretic,DIURETIC,,,,,,,C03BX,DIURETTE
deltius,DELTIUS,,,,,,,B01AF,ELIQUIS
aigua de mar,AIGUA DE MAR,,,,,,,V03AX,AGUA DEL CARMEN
DEMILOS,DEMILOS,,,,,,,C04AE,DIEMIL
ZOLEDRONATO,ZOLEDRONATO,,,,,,,M05BA,RISEDRONATO
natecal,NATECAL,A12AA,NATECAL,A12AA,NATECAL,A12AA,NATECAL,A12AA,NATECAL
COLNATUR,COLNATUR,,,,,,,C08DB,COROLATER
Calcicum,CALCICUM,,,,,,,M02AB,CAPSICUM
Calcio con vitamina D,CALCIO CON VITAMINA D,,,,,A12AX,CALCIO/VITAMINA D3,A12AX,CALCIO/VITAMINA D3
cal?,CAL?,,,,,,,,
netacal,NETACAL,,,,,,,A12AA,NATECAL
CALCIO,CALCIO,A12AA,CALCIO,A12AA,CALCIO,A12AA,CALCIO,A12AA,CALCIO
ACID ALENDRONIC,ACID ALENDRONIC,,,M05BA,ACIDO ALENDRONICO,M05BA,ACIDO ALENDRONICO,M05BA,ACIDO ALENDRONICO
deltius,DELTIUS,,,,,,,B01AF,ELIQUIS
Vitamina D,VITAMINA D,,,A11CC,VITAMINA D3,A11CC,VITAMINA D3,A11CC,VITAMINA D3
Hidroferol,HIDROFEROL,A11CC,HIDROFEROL,A11CC,HIDROFEROL,A11CC,HIDROFEROL,A11CC,HIDROFEROL
DEMILOS,DEMILOS,,,,,,,C04AE,DIEMIL
vitamina D,VITAMINA D,,,A11CC,VITAMINA D3,A11CC,VITAMINA D3,A11CC,VITAMINA D3
curarti,CURARTI,,,,,,,M04AA,URIARTRIL
HIDROFEROL,HIDROFEROL,A11CC,HIDROFEROL,A11CC,HIDROFEROL,A11CC,HIDROFEROL,A11CC,HIDROFEROL
magnesi,MAGNESI,,,,,A12CC,MAGNESAN,A12CC,MAGNESAN
colageno,COLAGENO,,,,,,,M01AG,COSLAN
GLUCOSOMINA,GLUCOSOMINA,,,M01AX,GLUCOSAMINA,M01AX,GLUCOSAMINA,M01AX,GLUCOSAMINA
BINOSTO,BINOSTO,,,,,,,A02AD,MINOTON
deltius,DELTIUS,,,,,,,B01AF,ELIQUIS
FLUOXITINA,FLUOXITINA,,,N06AB,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA
Alparzolam,ALPARZOLAM,,,N05BA,ALPRAZOLAM,N05BA,ALPRAZOLAM,N05BA,ALPRAZOLAM
deprax,DEPRAX,N06AX,DEPRAX,N06AX,DEPRAX,N06AX,DEPRAX,N06AX,DEPRAX
PAROXETINA,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA
Citalopram,CITALOPRAM,N06AB,CITALOPRAM,N06AB,CITALOPRAM,N06AB,CITALOPRAM,N06AB,CITALOPRAM
liti,LITI,,,,,J02AC,LOITIN,J02AC,LOITIN
fluosetina,FLUOSETINA,,,N06AB,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA
dumirox 100 cimbalta 30,DUMIROX  CIMBALTA,,,,,,,,
citelopran,CITELOPRAN,,,,,N06AB,CITALOPRAM,N06AB,CITALOPRAM
velambrain,VELAMBRAIN,,,N06AX,VENLABRAIN,N06AX,VENLABRAIN,N06AX,VENLABRAIN
ANAFRANIL 10 MG,ANAFRANIL,N06AA,ANAFRANIL,N06AA,ANAFRANIL,N06AA,ANAFRANIL,N06AA,ANAFRANIL
sertralina,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA
velafaxina 150mg,VELAFAXINA,,,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA
plociuoral,PLOCIUORAL,,,,,N05BA,PLACINORAL,N05BA,PLACINORAL
velaflexina,VELAFLEXINA,,,,,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA
floxetina,FLOXETINA,,,N06AB,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA
PAROXETINA,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA
Qudix,QUDIX,N05AH,QUDIX,N05AH,QUDIX,N05AH,QUDIX,N05AH,QUDIX
SERTRALINA,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA
pristic,PRISTIC,,,,,,,A03AX,PERGASTRIC
venafaxina,VENAFAXINA,,,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA
fluoxetina 20 mg,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA
lorazepam,LORAZEPAM,N05BA,LORAZEPAM,N05BA,LORAZEPAM,N05BA,LORAZEPAM,N05BA,LORAZEPAM
Pristiq 100mg,PRISTIQ,,,,,,,,
dos 2 per? ara no recordo el nom,DOS  PER? ARA NO RECORDO EL NOM,,,,,,,,
DIACEPAN,DIACEPAN,,,,,N05BA,DIAZEPAN,N05BA,DIAZEPAN
"diacepan, doubopal",DIACEPAN DOUBOPAL,,,,,,,,
Velafaxina,VELAFAXINA,,,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA
VELAFAXINA,VELAFAXINA,,,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA
lorazepam,LORAZEPAM,N05BA,LORAZEPAM,N05BA,LORAZEPAM,N05BA,LORAZEPAM,N05BA,LORAZEPAM
transilium,TRANSILIUM,,,N05BA,TRANXILIUM,N05BA,TRANXILIUM,N05BA,TRANXILIUM
tryptizol,TRYPTIZOL,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
PRISTIQ,PRISTIQ,,,,,,,,
FROSINOR,FROSINOR,N06AB,FROSINOR,N06AB,FROSINOR,N06AB,FROSINOR,N06AB,FROSINOR
PRISTIQ 100MG,PRISTIQ,,,,,,,,
manzatapina,MANZATAPINA,,,,,,,N05AH,OLANZAPINA
"PAROXETINA, LORMETAZEPAN",PAROXETINA LORMETAZEPAN,,,,,,,,
Citalopran,CITALOPRAN,,,N06AB,CITALOPRAM,N06AB,CITALOPRAM,N06AB,CITALOPRAM
lorazepam,LORAZEPAM,N05BA,LORAZEPAM,N05BA,LORAZEPAM,N05BA,LORAZEPAM,N05BA,LORAZEPAM
PRSICQ,PRSICQ,,,,,,,,
ANCIOLITIC,ANCIOLITIC,,,,,,,J01FA,BRONCOLITIC
valldoxan,VALLDOXAN,,,N06AX,VALDOXAN,N06AX,VALDOXAN,N06AX,VALDOXAN
brintellix,BRINTELLIX,,,,,,,J05AB,BRINIX
hip?rico,HIP?RICO,,,,,,,B03AB,HIERCO
ZARELIZ,ZARELIZ,,,,,N06AX,ZARELIS,N06AX,ZARELIS
alprazolam,ALPRAZOLAM,N05BA,ALPRAZOLAM,N05BA,ALPRAZOLAM,N05BA,ALPRAZOLAM,N05BA,ALPRAZOLAM
Quietapina,QUIETAPINA,,,,,,,J01GB,QUINTAMICINA
tramquimazin 1 mg,TRAMQUIMAZIN,,,,,,,N05BA,TRANKIMAZIN
tranquimacin,TRANQUIMACIN,,,,,,,N05BA,TRANKIMAZIN
QUETIAPINA,QUETIAPINA,,,,,,,C09BB,TRIAPIN
QUETIAPINA,QUETIAPINA,,,,,,,C09BB,TRIAPIN
Imipramina,IMIPRAMINA,,,,,,,V03AB,PROTAMINA
Tranquimazin,TRANQUIMAZIN,,,,,N05BA,TRANKIMAZIN,N05BA,TRANKIMAZIN
Ketozolam,KETOZOLAM,,,,,,,M01AE,KETOSOLAN
"lirica,",LIRICA,,,,,N03AX,LYRICA,N03AX,LYRICA
trazadona 100,TRAZADONA,,,,,,,N02BB,GRADONA
SEDOTIME,SEDOTIME,N05BA,SEDOTIME,N05BA,SEDOTIME,N05BA,SEDOTIME,N05BA,SEDOTIME
TRANQUIMACIL,TRANQUIMACIL,,,,,,,R05CZ,BRONQUIMUCIL
"stilnox, carbamazepina.",STILNOX CARBAMAZEPINA,,,,,,,N03AF,OXCARBAZEPINA
mirtazaprina,MIRTAZAPRINA,,,N06AX,MIRTAZAPINA,N06AX,MIRTAZAPINA,N06AX,MIRTAZAPINA
LITI,LITI,,,,,J02AC,LOITIN,J02AC,LOITIN
queitapina,QUEITAPINA,,,,,,,J01GB,QUINTAMICINA
quetiapina,QUETIAPINA,,,,,,,C09BB,TRIAPIN
Faig psicoter?pia,FAIG PSICOTER?PIA,,,,,,,,
LIRICA,LIRICA,,,,,N03AX,LYRICA,N03AX,LYRICA
Pristiq 100 mg,PRISTIQ,,,,,,,,
cintalopram,CINTALOPRAM,,,N06AB,CITALOPRAM,N06AB,CITALOPRAM,N06AB,CITALOPRAM
Velafaxina retard,VELAFAXINA RETARD,,,,,,,R03DA,EUFILINA RETARD
enantyum,ENANTYUM,M01AE,ENANTYUM,M01AE,ENANTYUM,M01AE,ENANTYUM,M01AE,ENANTYUM
IBUPROFE,IBUPROFE,,,,,M01AE,IBUPROFENO,M01AE,IBUPROFENO
ibuprofeno,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO
pazital,PAZITAL,N02AX,PAZITAL,N02AX,PAZITAL,N02AX,PAZITAL,N02AX,PAZITAL
MAXALT MAX,MAXALT MAX,N02CC,MAXALT MAX,N02CC,MAXALT MAX,N02CC,MAXALT MAX,N02CC,MAXALT MAX
IBUPROFENO,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO
adido,ADIDO,,,,,B01AC,ADIRO,B01AC,ADIRO
aspirinas,ASPIRINAS,,,N02BA,ASPIRINA,N02BA,ASPIRINA,N02BA,ASPIRINA
"ibuprofenos, nolotil y max xalt",IBUPROFENOS NOLOTIL Y MAX XALT,,,,,,,,
INMIGRAN NEO,INMIGRAN NEO,,,N02CC,IMIGRAN NEO,N02CC,IMIGRAN NEO,N02CC,IMIGRAN NEO
PROPRANOLOL 10 MG,PROPRANOLOL,,,,,,,C09AA,ZOPRANOL
Naxopreno monos?dico,NAXOPRENO MONOS?DICO,,,,,,,,
rizatriptan,RIZATRIPTAN,,,,,N02CC,NARATRIPTAN,N02CC,NARATRIPTAN
LACHESIS MUTUS 9CH,LACHESIS MUTUS CH,,,,,,,,
EMIGRAN50,EMIGRAN,,,,,N02CC,IMIGRAN,N02CC,IMIGRAN
ANTALGIN 550,ANTALGIN,M01AE,ANTALGIN,M01AE,ANTALGIN,M01AE,ANTALGIN,M01AE,ANTALGIN
naproseno,NAPROSENO,,,,,M01AE,NAPROXENO,M01AE,NAPROXENO
Zomig,ZOMIG,N02CC,ZOMIG,N02CC,ZOMIG,N02CC,ZOMIG,N02CC,ZOMIG
